,task,cosine,rank,top_10,category
14,"('athens', 'greece', 'moscow', 'russia')",0.5495774,1,"[('russia', 0.54957736), ('bulgaria', 0.5006439), ('ussr', 0.4900922), ('vladimir', 0.4825633), ('germany', 0.4809807), ('russian', 0.4778288), ('latvia', 0.47749045), ('italy', 0.47691715), ('konstantin', 0.4763538), ('belgrade', 0.4746665)]",capital-common-countries
15,"('athens', 'greece', 'oslo', 'norway')",0.6187543,1,"[('norway', 0.6187543), ('trondheim', 0.57506526), ('scandinavia', 0.5520004), ('norwegian', 0.54965574), ('sweden', 0.51856834), ('denmark', 0.51847416), ('copenhagen', 0.5171827), ('bulgaria', 0.5125146), ('[unused137]', 0.5083857), ('[unused935]', 0.5068636)]",capital-common-countries
16,"('athens', 'greece', 'ottawa', 'canada')",0.47951746,175,"[('canadians', 0.5240445), ('saskatoon', 0.4944814), ('lobbied', 0.4886835), ('saskatchewan', 0.48683143), ('[unused203]', 0.48643708), ('[unused12]', 0.48568553), ('[unused777]', 0.48556742), ('仁', 0.48543483), ('[unused283]', 0.48514283), ('[unused248]', 0.48512724)]",capital-common-countries
17,"('athens', 'greece', 'paris', 'france')",0.54938513,1,"[('france', 0.5493851), ('italy', 0.46274397), ('germany', 0.44056478), ('spain', 0.42398223), ('parisian', 0.41630664), ('europe', 0.41079807), ('brazil', 0.39988753), ('portugal', 0.3939336), ('belgium', 0.3932713), ('greeks', 0.39110386)]",capital-common-countries
18,"('athens', 'greece', 'rome', 'italy')",0.53107035,1,"[('italy', 0.53107035), ('spain', 0.456913), ('germany', 0.45277676), ('france', 0.44890058), ('bulgaria', 0.42902577), ('romania', 0.42534104), ('greeks', 0.41890332), ('brazil', 0.41864875), ('sicily', 0.41670877), ('portugal', 0.4144037)]",capital-common-countries
19,"('athens', 'greece', 'stockholm', 'sweden')",0.6240117,1,"[('sweden', 0.6240118), ('scandinavia', 0.5692924), ('denmark', 0.5540415), ('gothenburg', 0.55281794), ('finland', 0.5450461), ('swedish', 0.5447163), ('copenhagen', 0.54259926), ('norway', 0.5422907), ('latvia', 0.529283), ('andersson', 0.52686125)]",capital-common-countries
20,"('athens', 'greece', 'tehran', 'iran')",0.62081826,1,"[('iran', 0.6208183), ('persians', 0.5868048), ('persia', 0.58080524), ('iranian', 0.5797339), ('yerevan', 0.5640688), ('scandinavia', 0.5521526), ('peshawar', 0.55105954), ('gujarati', 0.54651934), ('[unused935]', 0.5464237), ('armenians', 0.54534966)]",capital-common-countries
21,"('athens', 'greece', 'tokyo', 'japan')",0.49959755,1,"[('japan', 0.49959758), ('italy', 0.48057112), ('hokkaido', 0.45402586), ('germany', 0.45296454), ('latvia', 0.44628745), ('indonesia', 0.4425309), ('seoul', 0.4368342), ('russia', 0.43467006), ('malaysia', 0.4344931), ('yokohama', 0.43447748)]",capital-common-countries
22,"('baghdad', 'iraq', 'bangkok', 'thailand')",0.60600394,1,"[('thailand', 0.60600394), ('laos', 0.5288378), ('cambodia', 0.52419543), ('vietnam', 0.52393836), ('cambodian', 0.48908964), ('thai', 0.48874652), ('##ร', 0.48433855), ('ม', 0.4784152), ('[unused17]', 0.4741016), ('[unused92]', 0.47335255)]",capital-common-countries
23,"('baghdad', 'iraq', 'beijing', 'china')",0.40950656,16,"[('vietnam', 0.46276367), ('afghanistan', 0.46014774), ('xinjiang', 0.44435742), ('tianjin', 0.440202), ('taiwan', 0.42703536), ('nanjing', 0.42678165), ('shenzhen', 0.42185292), ('shandong', 0.42012438), ('##qing', 0.4191674), ('korea', 0.41792828)]",capital-common-countries
24,"('baghdad', 'iraq', 'berlin', 'germany')",0.39949492,1,"[('germany', 0.39949483), ('afghanistan', 0.3924773), ('vietnam', 0.35446152), ('israel', 0.35345134), ('poland', 0.340337), ('greece', 0.33647335), ('switzerland', 0.33576706), ('prussia', 0.3338201), ('kosovo', 0.33205646), ('potsdam', 0.33004314)]",capital-common-countries
25,"('baghdad', 'iraq', 'bern', 'switzerland')",0.44000268,1,"[('switzerland', 0.4400027), ('三', 0.40589938), ('##27', 0.40100202), ('1823', 0.392829), ('liechtenstein', 0.39057985), ('##נ', 0.3864423), ('##21', 0.38617358), ('##न', 0.38432068), ('##オ', 0.383698), ('1834', 0.38349745)]",capital-common-countries
26,"('baghdad', 'iraq', 'cairo', 'egypt')",0.52645874,1,"[('egypt', 0.52645874), ('tunisia', 0.4611361), ('palestine', 0.45950225), ('egyptian', 0.45916215), ('algeria', 0.45511323), ('sudan', 0.45414492), ('egyptians', 0.45128682), ('syria', 0.44971436), ('libya', 0.44917867), ('maldives', 0.440048)]",capital-common-countries
27,"('baghdad', 'iraq', 'canberra', 'australia')",0.4204142,1017,"[('nsw', 0.46570364), ('rhodesia', 0.4463991), ('parramatta', 0.44223514), ('[unused451]', 0.44025937), ('antarctica', 0.43969685), ('[unused92]', 0.43938196), ('[unused175]', 0.43910113), ('[unused710]', 0.43904352), ('[unused438]', 0.43806067), ('[unused584]', 0.43779606)]",capital-common-countries
28,"('baghdad', 'iraq', 'hanoi', 'vietnam')",0.639512,1,"[('vietnam', 0.639512), ('laos', 0.5475448), ('vietnamese', 0.5389838), ('saigon', 0.5360456), ('cambodia', 0.5319418), ('indochina', 0.5233092), ('cambodian', 0.5094366), ('海', 0.5089738), ('shenzhen', 0.5072305), ('[unused139]', 0.5053691)]",capital-common-countries
29,"('baghdad', 'iraq', 'havana', 'cuba')",0.5592676,1,"[('cuba', 0.55926764), ('venezuela', 0.5102255), ('haiti', 0.5101407), ('cuban', 0.506021), ('algeria', 0.49293733), ('[unused451]', 0.491808), ('[unused430]', 0.48962253), ('[unused649]', 0.48799914), ('[unused924]', 0.4877326), ('[unused934]', 0.48765647)]",capital-common-countries
30,"('baghdad', 'iraq', 'helsinki', 'finland')",0.53369683,2,"[('finnish', 0.5354295), ('finland', 0.53369683), ('estonia', 0.51362246), ('gothenburg', 0.49111873), ('sweden', 0.4797497), ('oslo', 0.47296637), ('iceland', 0.4668523), ('otago', 0.4665995), ('latvia', 0.46569374), ('greece', 0.46368852)]",capital-common-countries
31,"('baghdad', 'iraq', 'islamabad', 'pakistan')",0.5826701,1,"[('pakistan', 0.58267015), ('afghanistan', 0.5633868), ('[unused941]', 0.55594224), ('[unused893]', 0.55562276), ('[unused103]', 0.5553745), ('[unused584]', 0.55520904), ('[unused92]', 0.55434126), ('[unused879]', 0.5539915), ('[unused223]', 0.55380684), ('[unused539]', 0.5536561)]",capital-common-countries
32,"('baghdad', 'iraq', 'kabul', 'afghanistan')",0.68301874,1,"[('afghanistan', 0.6830188), ('afghan', 0.5744593), ('tajikistan', 0.56669044), ('peshawar', 0.56472605), ('kosovo', 0.5590213), ('xinjiang', 0.5471295), ('kathmandu', 0.5466123), ('islamabad', 0.5404007), ('[unused267]', 0.54001546), ('[unused103]', 0.5391295)]",capital-common-countries
33,"('baghdad', 'iraq', 'london', 'england')",0.40478462,1,"[('england', 0.40478465), ('ireland', 0.3285558), ('israel', 0.31648734), ('italy', 0.30593508), ('france', 0.30359468), ('britain', 0.3019573), ('india', 0.30138502), ('british', 0.29962882), ('uk', 0.2930358), ('europe', 0.2901347)]",capital-common-countries
34,"('baghdad', 'iraq', 'madrid', 'spain')",0.45707625,1,"[('spain', 0.45707628), ('zaragoza', 0.4174698), ('portugal', 0.40849048), ('italy', 0.40638617), ('greece', 0.40531963), ('colombia', 0.39847428), ('venezuela', 0.3945568), ('mexico', 0.38725826), ('castile', 0.38431072), ('bilbao', 0.38365257)]",capital-common-countries
35,"('baghdad', 'iraq', 'moscow', 'russia')",0.46112853,1,"[('russia', 0.46112847), ('vietnam', 0.40726826), ('ussr', 0.3930719), ('russians', 0.3866565), ('russian', 0.38502356), ('poland', 0.37946093), ('sweden', 0.37896842), ('vladimir', 0.37781245), ('afghanistan', 0.37359816), ('greece', 0.3661255)]",capital-common-countries
36,"('baghdad', 'iraq', 'oslo', 'norway')",0.50689816,1,"[('norway', 0.5068981), ('trondheim', 0.47163317), ('norwegian', 0.44144908), ('israelis', 0.4384934), ('kosovo', 0.4347415), ('helsinki', 0.43461525), ('sweden', 0.43351927), ('inuit', 0.42973167), ('slovenia', 0.42876813), ('estonia', 0.4278243)]",capital-common-countries
37,"('baghdad', 'iraq', 'ottawa', 'canada')",0.3744636,733,"[('ontario', 0.4287783), ('halifax', 0.40795615), ('montreal', 0.39923695), ('winnipeg', 0.39774114), ('afghanistan', 0.395416), ('民', 0.39262864), ('canadians', 0.39059776), ('toronto', 0.3892237), ('inuit', 0.3865523), ('[unused649]', 0.385636)]",capital-common-countries
38,"('baghdad', 'iraq', 'paris', 'france')",0.42662713,1,"[('france', 0.4266271), ('vietnam', 0.33054197), ('italy', 0.32744196), ('europe', 0.30100897), ('switzerland', 0.29573533), ('ireland', 0.29559657), ('greece', 0.29300317), ('spain', 0.2852372), ('israel', 0.28338423), ('india', 0.27889663)]",capital-common-countries
39,"('baghdad', 'iraq', 'rome', 'italy')",0.40300676,1,"[('italy', 0.40300673), ('greece', 0.34253737), ('romania', 0.3270121), ('spain', 0.32522792), ('france', 0.3249369), ('vietnam', 0.3240777), ('israel', 0.3171692), ('syria', 0.31241396), ('libya', 0.31040472), ('ireland', 0.31031728)]",capital-common-countries
40,"('baghdad', 'iraq', 'stockholm', 'sweden')",0.55109674,1,"[('sweden', 0.55109686), ('swedish', 0.48722953), ('gothenburg', 0.47665885), ('uppsala', 0.4587952), ('copenhagen', 0.44982898), ('denmark', 0.4361636), ('scandinavia', 0.4336038), ('norway', 0.43221128), ('malmo', 0.43219018), ('helsinki', 0.4300065)]",capital-common-countries
41,"('baghdad', 'iraq', 'tehran', 'iran')",0.59344333,1,"[('iran', 0.59344345), ('iranian', 0.5590358), ('afghanistan', 0.51179886), ('persians', 0.4918072), ('israelis', 0.4881984), ('kurdistan', 0.48524818), ('kosovo', 0.4846244), ('[unused845]', 0.4843234), ('[unused451]', 0.48424953), ('[unused935]', 0.48394957)]",capital-common-countries
42,"('baghdad', 'iraq', 'tokyo', 'japan')",0.4300846,1,"[('japan', 0.43008462), ('indonesia', 0.3949524), ('vietnam', 0.39483058), ('korea', 0.39021537), ('okinawa', 0.3761377), ('japanese', 0.3708498), ('rwanda', 0.36883143), ('italy', 0.36757752), ('hiroshima', 0.36632627), ('seoul', 0.36373875)]",capital-common-countries
43,"('baghdad', 'iraq', 'athens', 'greece')",0.52005464,1,"[('greece', 0.52005476), ('cyprus', 0.4284098), ('athenian', 0.42068675), ('greeks', 0.41364992), ('aegean', 0.4132788), ('sparta', 0.40398613), ('##poulos', 0.40300363), ('laos', 0.40087426), ('thessaloniki', 0.4008458), ('vietnam', 0.39796576)]",capital-common-countries
44,"('bangkok', 'thailand', 'beijing', 'china')",0.49645787,7,"[('sichuan', 0.5200684), ('nanjing', 0.51110184), ('taiwan', 0.50818944), ('guangdong', 0.50486183), ('xinjiang', 0.5004327), ('##feng', 0.49881458), ('china', 0.49645784), ('fujian', 0.4944643), ('tianjin', 0.4931215), ('guangzhou', 0.48913863)]",capital-common-countries
45,"('bangkok', 'thailand', 'berlin', 'germany')",0.5257626,1,"[('germany', 0.5257627), ('german', 0.44417188), ('munich', 0.42257082), ('belgium', 0.40515882), ('danzig', 0.39881894), ('scandinavia', 0.3964768), ('japan', 0.3938282), ('hamburg', 0.39348954), ('poland', 0.39069167), ('munchen', 0.39019483)]",capital-common-countries
46,"('bangkok', 'thailand', 'bern', 'switzerland')",0.47066784,1,"[('switzerland', 0.4706679), ('152', 0.47007883), ('1823', 0.4651546), ('271', 0.46237558), ('269', 0.46228728), ('050', 0.4615043), ('151', 0.46020237), ('1682', 0.45882848), ('##ᄌ', 0.4585384), ('268', 0.45696867)]",capital-common-countries
47,"('bangkok', 'thailand', 'cairo', 'egypt')",0.56444204,1,"[('egypt', 0.564442), ('egyptians', 0.5282707), ('egyptian', 0.5169993), ('morocco', 0.5036536), ('libya', 0.49875128), ('coptic', 0.49681067), ('sudan', 0.49560228), ('1829', 0.49447736), ('1672', 0.49409065), ('tunisia', 0.49169162)]",capital-common-countries
48,"('bangkok', 'thailand', 'canberra', 'australia')",0.4950896,6,"[('northamptonshire', 0.51673967), ('cumbria', 0.5044023), ('australians', 0.5015524), ('nsw', 0.50092375), ('tasmania', 0.50086856), ('australia', 0.4950895), ('selangor', 0.49305487), ('leicestershire', 0.490648), ('カ', 0.4868342), ('gambia', 0.48663437)]",capital-common-countries
49,"('bangkok', 'thailand', 'hanoi', 'vietnam')",0.60609025,1,"[('vietnam', 0.60609025), ('vietnamese', 0.5948997), ('laos', 0.5761113), ('cambodia', 0.5753596), ('indochina', 0.5641027), ('cambodian', 0.5628248), ('saigon', 0.5620823), ('henan', 0.56074387), ('1778', 0.5573166), ('ᄐ', 0.55060166)]",capital-common-countries
50,"('bangkok', 'thailand', 'havana', 'cuba')",0.6282017,1,"[('cuba', 0.6282018), ('cuban', 0.57245415), ('venezuela', 0.55732197), ('cadiz', 0.5537207), ('veracruz', 0.5504345), ('nicaragua', 0.53945595), ('guatemala', 0.53765845), ('venezuelan', 0.5370857), ('puebla', 0.53326446), ('argentina', 0.5302682)]",capital-common-countries
51,"('bangkok', 'thailand', 'helsinki', 'finland')",0.6637547,1,"[('finland', 0.66375476), ('finnish', 0.6114695), ('scandinavia', 0.56036997), ('gothenburg', 0.5545261), ('estonia', 0.53787595), ('oslo', 0.53152305), ('1721', 0.52361155), ('sulawesi', 0.5229613), ('nokia', 0.51976025), ('stockholm', 0.518591)]",capital-common-countries
52,"('bangkok', 'thailand', 'islamabad', 'pakistan')",0.6149586,1,"[('pakistan', 0.61495864), ('peshawar', 0.60459775), ('karachi', 0.5907453), ('[unused170]', 0.5890307), ('pakistani', 0.58854437), ('[unused87]', 0.58745277), ('[unused192]', 0.5872152), ('[unused899]', 0.58708745), ('ᄐ', 0.5870489), ('[unused781]', 0.5870364)]",capital-common-countries
53,"('bangkok', 'thailand', 'kabul', 'afghanistan')",0.66501534,1,"[('afghanistan', 0.6650153), ('afghan', 0.62775594), ('peshawar', 0.6197262), ('tajikistan', 0.60972506), ('kyrgyzstan', 0.58587176), ('turkmenistan', 0.58075756), ('sulawesi', 0.57420325), ('ᄐ', 0.57365316), ('kathmandu', 0.5733666), ('xinjiang', 0.57294255)]",capital-common-countries
54,"('bangkok', 'thailand', 'london', 'england')",0.43018803,1,"[('england', 0.43018803), ('germany', 0.4026055), ('uk', 0.36171505), ('italy', 0.3573718), ('britain', 0.35329962), ('europe', 0.35319033), ('japan', 0.34930065), ('australia', 0.34724873), ('british', 0.3469601), ('ireland', 0.3466642)]",capital-common-countries
55,"('bangkok', 'thailand', 'madrid', 'spain')",0.5351695,1,"[('spain', 0.5351695), ('zaragoza', 0.50995183), ('portugal', 0.50575906), ('cadiz', 0.47757056), ('italy', 0.4770459), ('espana', 0.4728268), ('morocco', 0.46890074), ('aragon', 0.46737164), ('argentina', 0.46571082), ('greece', 0.4644409)]",capital-common-countries
56,"('bangkok', 'thailand', 'moscow', 'russia')",0.5362019,1,"[('russia', 0.53620183), ('vladimir', 0.4669997), ('ussr', 0.4661963), ('russian', 0.46520537), ('finland', 0.46380818), ('ukraine', 0.45843798), ('russians', 0.45484835), ('leningrad', 0.45389667), ('japan', 0.44719863), ('novgorod', 0.44684464)]",capital-common-countries
57,"('bangkok', 'thailand', 'oslo', 'norway')",0.5741544,1,"[('norway', 0.5741543), ('trondheim', 0.5370192), ('norwegian', 0.53633004), ('scandinavia', 0.51033056), ('finland', 0.48997352), ('malmo', 0.47513103), ('helsinki', 0.47342727), ('gothenburg', 0.47232193), ('cumbria', 0.4687573), ('freyja', 0.46850795)]",capital-common-countries
58,"('bangkok', 'thailand', 'ottawa', 'canada')",0.46235353,3,"[('iroquois', 0.47878903), ('canadians', 0.46732953), ('canada', 0.46235356), ('ontario', 0.45079756), ('rwanda', 0.4494605), ('canberra', 0.44789737), ('manitoba', 0.4478893), ('edmonton', 0.44699293), ('gambia', 0.446728), ('toronto', 0.44672483)]",capital-common-countries
59,"('bangkok', 'thailand', 'paris', 'france')",0.46537283,1,"[('france', 0.4653729), ('italy', 0.390648), ('germany', 0.38546133), ('europe', 0.37539083), ('london', 0.371412), ('belgium', 0.3630659), ('spain', 0.35434473), ('french', 0.35284036), ('parisian', 0.35185006), ('japan', 0.34740916)]",capital-common-countries
60,"('bangkok', 'thailand', 'rome', 'italy')",0.47882855,1,"[('italy', 0.47882855), ('germany', 0.4114892), ('greece', 0.4038257), ('spain', 0.4032951), ('libya', 0.3832876), ('japan', 0.38217545), ('europe', 0.37667832), ('portugal', 0.37437293), ('france', 0.37373084), ('brazil', 0.37342906)]",capital-common-countries
61,"('bangkok', 'thailand', 'stockholm', 'sweden')",0.5837932,1,"[('sweden', 0.5837932), ('finland', 0.5652406), ('uppsala', 0.5554895), ('gothenburg', 0.54175824), ('scandinavia', 0.5389968), ('swedish', 0.538866), ('malmo', 0.50287706), ('norway', 0.5025864), ('denmark', 0.50197464), ('scandinavian', 0.49458307)]",capital-common-countries
62,"('bangkok', 'thailand', 'tehran', 'iran')",0.66248,1,"[('iran', 0.66248006), ('iranian', 0.6293798), ('persians', 0.5843581), ('persia', 0.5618383), ('reza', 0.554203), ('kurdistan', 0.5541729), ('kyrgyzstan', 0.54689485), ('turkmenistan', 0.5422548), ('##fahan', 0.5380447), ('hezbollah', 0.5376575)]",capital-common-countries
63,"('bangkok', 'thailand', 'tokyo', 'japan')",0.5441136,1,"[('japan', 0.5441135), ('japanese', 0.4996152), ('indonesia', 0.46474382), ('korea', 0.45152053), ('seoul', 0.44451088), ('hokkaido', 0.44275114), ('rwanda', 0.4399833), ('italy', 0.43477845), ('yokohama', 0.43465677), ('kyushu', 0.43247584)]",capital-common-countries
64,"('bangkok', 'thailand', 'athens', 'greece')",0.5709174,1,"[('greece', 0.5709174), ('hellenic', 0.50170887), ('greeks', 0.50001013), ('athenian', 0.47728264), ('crete', 0.47678784), ('albania', 0.47670114), ('thessaloniki', 0.46693173), ('calabria', 0.46522677), ('finland', 0.46477324), ('cadiz', 0.4610262)]",capital-common-countries
65,"('bangkok', 'thailand', 'baghdad', 'iraq')",0.61295444,1,"[('iraq', 0.61295456), ('iraqi', 0.608171), ('mesopotamia', 0.5907598), ('turkmenistan', 0.5627689), ('kuwait', 0.56199443), ('aleppo', 0.55828816), ('syriac', 0.5576236), ('rajasthan', 0.5483617), ('libya', 0.5474233), ('1805', 0.5473287)]",capital-common-countries
66,"('beijing', 'china', 'berlin', 'germany')",0.4643003,1,"[('germany', 0.4643003), ('german', 0.39569286), ('india', 0.3447752), ('russia', 0.34308034), ('france', 0.33357), ('217', 0.3314175), ('europe', 0.3294234), ('175', 0.328016), ('london', 0.32537514), ('211', 0.325315)]",capital-common-countries
67,"('beijing', 'china', 'bern', 'switzerland')",0.38461095,119,"[('216', 0.43041947), ('215', 0.42501342), ('211', 0.42465585), ('258', 0.42223123), ('277', 0.41764978), ('257', 0.41755596), ('268', 0.41688052), ('253', 0.41453224), ('271', 0.4137134), ('224', 0.41191116)]",capital-common-countries
68,"('beijing', 'china', 'cairo', 'egypt')",0.49269465,1,"[('egypt', 0.49269465), ('255', 0.43552718), ('egyptian', 0.43467227), ('1765', 0.43183988), ('1731', 0.42709017), ('1724', 0.4264542), ('1835', 0.42618585), ('persia', 0.42539015), ('1695', 0.42494288), ('1755', 0.42421588)]",capital-common-countries
69,"('beijing', 'china', 'canberra', 'australia')",0.4500842,1,"[('australia', 0.45008424), ('1652', 0.45001143), ('nsw', 0.44340008), ('1695', 0.44164547), ('1765', 0.44114566), ('1714', 0.4397925), ('1705', 0.43942124), ('scandinavia', 0.43908465), ('1670', 0.43853113), ('1785', 0.43838397)]",capital-common-countries
70,"('beijing', 'china', 'hanoi', 'vietnam')",0.5344516,1,"[('vietnam', 0.5344516), ('indochina', 0.5199227), ('1695', 0.50772536), ('saigon', 0.5007946), ('1721', 0.49628535), ('1731', 0.49592596), ('vietnamese', 0.49560222), ('1712', 0.49489033), ('1785', 0.49164557), ('1705', 0.49046844)]",capital-common-countries
71,"('beijing', 'china', 'havana', 'cuba')",0.5883171,1,"[('cuba', 0.58831704), ('cuban', 0.5117985), ('1712', 0.46470755), ('1765', 0.4606818), ('venezuela', 0.46044394), ('1714', 0.4561334), ('spain', 0.45392388), ('1781', 0.45278168), ('1782', 0.45258784), ('cadiz', 0.451161)]",capital-common-countries
72,"('beijing', 'china', 'helsinki', 'finland')",0.5374791,1,"[('finland', 0.5374791), ('finnish', 0.5199545), ('scandinavia', 0.50719243), ('1721', 0.48342785), ('sweden', 0.47304815), ('scandinavian', 0.4710781), ('1652', 0.4639767), ('1712', 0.46384415), ('gothenburg', 0.46275586), ('322', 0.4609472)]",capital-common-countries
73,"('beijing', 'china', 'islamabad', 'pakistan')",0.569443,2,"[('lahore', 0.56974053), ('pakistan', 0.5694429), ('peshawar', 0.5523977), ('karachi', 0.5508648), ('1721', 0.5470947), ('1652', 0.5431436), ('pakistani', 0.5424959), ('1717', 0.53954655), ('1729', 0.53790325), ('1712', 0.53702545)]",capital-common-countries
74,"('beijing', 'china', 'kabul', 'afghanistan')",0.52988946,3,"[('afghan', 0.56992406), ('peshawar', 0.555066), ('afghanistan', 0.52988935), ('persia', 0.5271871), ('scandinavia', 0.52146536), ('1705', 0.520826), ('1708', 0.51691526), ('1756', 0.51687604), ('1695', 0.5167239), ('1785', 0.5162829)]",capital-common-countries
75,"('beijing', 'china', 'london', 'england')",0.38830554,1,"[('england', 0.38830554), ('india', 0.34691468), ('germany', 0.33114403), ('britain', 0.31305265), ('france', 0.30083996), ('english', 0.30049503), ('europe', 0.28869072), ('british', 0.27826035), ('spain', 0.27592224), ('uk', 0.27415696)]",capital-common-countries
76,"('beijing', 'china', 'madrid', 'spain')",0.4971318,1,"[('spain', 0.49713185), ('spanish', 0.43269488), ('portugal', 0.4151816), ('italy', 0.40288922), ('zaragoza', 0.39705375), ('france', 0.39108709), ('espana', 0.3906415), ('germany', 0.38749066), ('russia', 0.38545474), ('cuba', 0.37630588)]",capital-common-countries
77,"('beijing', 'china', 'moscow', 'russia')",0.4933972,1,"[('russia', 0.4933972), ('russian', 0.416682), ('germany', 0.39110407), ('india', 0.3793557), ('japan', 0.37331536), ('ussr', 0.37321857), ('215', 0.36222616), ('poland', 0.36018154), ('211', 0.3580809), ('196', 0.3579598)]",capital-common-countries
78,"('beijing', 'china', 'oslo', 'norway')",0.51142484,1,"[('norway', 0.5114249), ('norwegian', 0.47877425), ('scandinavia', 0.4688307), ('scandinavian', 0.4412027), ('denmark', 0.43693984), ('sweden', 0.4335159), ('trondheim', 0.42433774), ('bergen', 0.42047814), ('1721', 0.41174573), ('germany', 0.4100324)]",capital-common-countries
