,task,cosine,rank,top_10,category
20,"('athens', 'greece', 'tokyo', 'japan')",0.6417501,1,"[('japan', 0.64175), ('japanese', 0.47503868), ('china', 0.47500315), ('thailand', 0.45433655), ('indonesia', 0.43374813), ('finland', 0.43121767), ('italy', 0.42753646), ('france', 0.4246097), ('germany', 0.42049685), ('spain', 0.41305414)]",capital-common-countries
21,"('baghdad', 'iraq', 'bangkok', 'thailand')",0.6627379,1,"[('thailand', 0.6627379), ('vietnam', 0.47096148), ('indonesia', 0.46632817), ('thai', 0.46479878), ('cambodia', 0.46458784), ('laos', 0.43803498), ('myanmar', 0.42055377), ('bangladesh', 0.41178218), ('malaysia', 0.4096103), ('afghanistan', 0.40827638)]",capital-common-countries
22,"('baghdad', 'iraq', 'beijing', 'china')",0.5991447,1,"[('china', 0.5991447), ('japan', 0.4098243), ('vietnam', 0.39865473), ('chinese', 0.39527014), ('korea', 0.3862209), ('australia', 0.3799762), ('taiwan', 0.3797924), ('russia', 0.37972122), ('indonesia', 0.37630132), ('pakistan', 0.3696237)]",capital-common-countries
23,"('baghdad', 'iraq', 'berlin', 'germany')",0.52825344,1,"[('germany', 0.5282535), ('france', 0.3646068), ('ireland', 0.36124757), ('poland', 0.35992244), ('europe', 0.3564121), ('austria', 0.353295), ('norway', 0.34913617), ('italy', 0.346735), ('german', 0.34534883), ('belgium', 0.32834345)]",capital-common-countries
24,"('baghdad', 'iraq', 'bern', 'switzerland')",0.25145194,1,"[('switzerland', 0.25145197), ('chile', 0.19870435), ('bernie', 0.18555528), ('france', 0.1854946), ('mexico', 0.18082252), ('barn', 0.17959821), ('norway', 0.17880757), ('spain', 0.17722999), ('argentina', 0.17619662), ('italy', 0.17295226)]",capital-common-countries
25,"('baghdad', 'iraq', 'cairo', 'egypt')",0.57524157,1,"[('egypt', 0.5752415), ('libya', 0.47740242), ('syria', 0.45552942), ('egyptian', 0.4359006), ('algeria', 0.40434003), ('tunisia', 0.40303996), ('morocco', 0.38310158), ('afghanistan', 0.38007143), ('ethiopia', 0.37726614), ('kenya', 0.37463102)]",capital-common-countries
26,"('baghdad', 'iraq', 'canberra', 'australia')",0.5198272,1,"[('australia', 0.5198272), ('tasmania', 0.43797353), ('australian', 0.43483362), ('nsw', 0.43357402), ('australians', 0.4153391), ('queensland', 0.3898789), ('berra', 0.3881483), ('melbourne', 0.3843064), ('brisbane', 0.37656564), ('indonesia', 0.37111384)]",capital-common-countries
27,"('baghdad', 'iraq', 'havana', 'cuba')",0.64796716,1,"[('cuba', 0.6479671), ('haiti', 0.49661404), ('cuban', 0.47371146), ('venezuela', 0.43144003), ('nicaragua', 0.42959276), ('colombia', 0.41871768), ('mexico', 0.4124407), ('honduras', 0.4026624), ('guatemala', 0.39730945), ('chile', 0.3970025)]",capital-common-countries
28,"('baghdad', 'iraq', 'helsinki', 'finland')",0.5480519,1,"[('finland', 0.5480519), ('finnish', 0.45050195), ('estonia', 0.4300614), ('lithuania', 0.39468333), ('sweden', 0.38206166), ('iceland', 0.3797586), ('latvia', 0.37754583), ('oslo', 0.36587104), ('norway', 0.36580294), ('ukraine', 0.36559796)]",capital-common-countries
29,"('baghdad', 'iraq', 'islamabad', 'pakistan')",0.60453796,1,"[('pakistan', 0.60453796), ('afghanistan', 0.49741444), ('pakistani', 0.4509142), ('karachi', 0.42521134), ('bangladesh', 0.40590096), ('nepal', 0.393469), ('zimbabwe', 0.3867447), ('india', 0.38672742), ('libya', 0.38461936), ('imran', 0.38223806)]",capital-common-countries
30,"('baghdad', 'iraq', 'kabul', 'afghanistan')",0.72759795,1,"[('afghanistan', 0.7275981), ('afghan', 0.5916878), ('afghans', 0.5087516), ('pakistan', 0.5049509), ('syria', 0.47914606), ('libya', 0.46234098), ('nepal', 0.4612366), ('taliban', 0.45906782), ('somalia', 0.43724868), ('iran', 0.4368015)]",capital-common-countries
31,"('baghdad', 'iraq', 'london', 'england')",0.45239267,1,"[('england', 0.4523927), ('britain', 0.40206134), ('uk', 0.37607107), ('europe', 0.35390365), ('ireland', 0.3371136), ('france', 0.33005255), ('british', 0.32562017), ('english', 0.29374164), ('germany', 0.28395748), ('australia', 0.2760658)]",capital-common-countries
32,"('baghdad', 'iraq', 'madrid', 'spain')",0.54395264,1,"[('spain', 0.54395264), ('france', 0.43239528), ('mexico', 0.420159), ('argentina', 0.41199598), ('italy', 0.41189975), ('portugal', 0.4083083), ('ireland', 0.38061032), ('barcelona', 0.38001645), ('germany', 0.3755718), ('chile', 0.3753379)]",capital-common-countries
33,"('baghdad', 'iraq', 'moscow', 'russia')",0.6727488,1,"[('russia', 0.67274886), ('russian', 0.5108516), ('ukraine', 0.48677182), ('putin', 0.44826296), ('poland', 0.44192332), ('russians', 0.43452826), ('ussr', 0.43004966), ('soviet', 0.41875777), ('iran', 0.41787183), ('germany', 0.4151076)]",capital-common-countries
34,"('baghdad', 'iraq', 'oslo', 'norway')",0.5596097,1,"[('norway', 0.55960983), ('norwegian', 0.43866208), ('sweden', 0.35165676), ('iceland', 0.351334), ('austria', 0.350348), ('denmark', 0.34021693), ('bosnia', 0.32918173), ('helsinki', 0.3257525), ('israel', 0.32534593), ('vietnam', 0.32516223)]",capital-common-countries
35,"('baghdad', 'iraq', 'ottawa', 'canada')",0.47583774,2,"[('ontario', 0.4770489), ('canada', 0.4758377), ('quebec', 0.41568235), ('montreal', 0.40078694), ('canadian', 0.39772558), ('alberta', 0.39594814), ('saskatchewan', 0.39570624), ('toronto', 0.3836036), ('edmonton', 0.3785336), ('winnipeg', 0.37182724)]",capital-common-countries
36,"('baghdad', 'iraq', 'paris', 'france')",0.53258806,1,"[('france', 0.5325881), ('french', 0.37923306), ('europe', 0.33755994), ('ireland', 0.30117622), ('germany', 0.30005288), ('syria', 0.2785694), ('italy', 0.27406347), ('vietnam', 0.27334183), ('australia', 0.26555333), ('england', 0.26236317)]",capital-common-countries
37,"('baghdad', 'iraq', 'rome', 'italy')",0.5043243,1,"[('italy', 0.5043243), ('france', 0.37444466), ('greece', 0.36701554), ('germany', 0.36371338), ('ireland', 0.3608775), ('romania', 0.34832612), ('mexico', 0.32598117), ('europe', 0.32352826), ('austria', 0.32121736), ('italian', 0.31881064)]",capital-common-countries
38,"('baghdad', 'iraq', 'stockholm', 'sweden')",0.552487,1,"[('sweden', 0.552487), ('swedish', 0.421423), ('norway', 0.4188002), ('finland', 0.377799), ('denmark', 0.37125733), ('oslo', 0.3575344), ('scandinav', 0.35438186), ('scandinavian', 0.35017765), ('germany', 0.35012996), ('iceland', 0.34275123)]",capital-common-countries
39,"('baghdad', 'iraq', 'tehran', 'iran')",0.7249309,1,"[('iran', 0.7249309), ('iranian', 0.5594067), ('iranians', 0.4758218), ('afghanistan', 0.453343), ('syria', 0.4390167), ('pakistan', 0.4117167), ('russia', 0.40394178), ('libya', 0.3932071), ('israel', 0.39070866), ('rouhani', 0.38706836)]",capital-common-countries
40,"('baghdad', 'iraq', 'tokyo', 'japan')",0.60484457,1,"[('japan', 0.6048445), ('japanese', 0.43142346), ('china', 0.40336514), ('indonesia', 0.3991183), ('korea', 0.38178548), ('taiwan', 0.37820613), ('thailand', 0.3759041), ('vietnam', 0.3640618), ('mexico', 0.36003473), ('germany', 0.35934994)]",capital-common-countries
41,"('baghdad', 'iraq', 'athens', 'greece')",0.59040797,1,"[('greece', 0.590408), ('greek', 0.4073449), ('greeks', 0.4016047), ('italy', 0.37824938), ('macedonia', 0.35919607), ('albania', 0.35693565), ('lebanon', 0.35303795), ('ireland', 0.35249707), ('germany', 0.34881482), ('cyprus', 0.34678993)]",capital-common-countries
42,"('bangkok', 'thailand', 'beijing', 'china')",0.6499938,1,"[('china', 0.6499937), ('chinese', 0.47701612), ('japan', 0.47133407), ('taiwan', 0.46518666), ('indonesia', 0.4360913), ('pakistan', 0.4291305), ('australia', 0.41698682), ('russia', 0.41228223), ('ijing', 0.41181698), ('malaysia', 0.4080405)]",capital-common-countries
43,"('bangkok', 'thailand', 'berlin', 'germany')",0.598424,1,"[('germany', 0.5984241), ('italy', 0.46256715), ('poland', 0.4293999), ('france', 0.42769316), ('romania', 0.42523706), ('austria', 0.40728286), ('norway', 0.40302718), ('sweden', 0.40214545), ('denmark', 0.40166056), ('ireland', 0.40164736)]",capital-common-countries
44,"('bangkok', 'thailand', 'bern', 'switzerland')",0.32800752,1,"[('switzerland', 0.32800752), ('spain', 0.28866622), ('italy', 0.26195726), ('chile', 0.2537403), ('sweden', 0.24041362), ('cand', 0.23333187), ('turkey', 0.22819401), ('france', 0.22796722), ('portugal', 0.22538702), ('norway', 0.21381272)]",capital-common-countries
45,"('bangkok', 'thailand', 'cairo', 'egypt')",0.6334276,1,"[('egypt', 0.63342756), ('egyptian', 0.49588767), ('libya', 0.46230704), ('tunisia', 0.45184302), ('egyptians', 0.4484239), ('morocco', 0.44563556), ('turkey', 0.4340431), ('kenya', 0.41995835), ('algeria', 0.41856238), ('tanzania', 0.4143616)]",capital-common-countries
46,"('bangkok', 'thailand', 'canberra', 'australia')",0.5511346,1,"[('australia', 0.5511345), ('australians', 0.4963), ('tasmania', 0.48814115), ('nsw', 0.4644442), ('australian', 0.46303105), ('queensland', 0.44479105), ('indonesia', 0.42629912), ('malaysia', 0.42260918), ('berra', 0.4160347), ('brisbane', 0.40681025)]",capital-common-countries
47,"('bangkok', 'thailand', 'havana', 'cuba')",0.6635125,1,"[('cuba', 0.6635126), ('haiti', 0.49525553), ('cuban', 0.48963177), ('venezuela', 0.4847065), ('spain', 0.46703398), ('bolivia', 0.4539784), ('colombia', 0.45393997), ('nicaragua', 0.44749993), ('honduras', 0.44667917), ('chile', 0.44413945)]",capital-common-countries
48,"('bangkok', 'thailand', 'helsinki', 'finland')",0.6404815,1,"[('finland', 0.6404815), ('finnish', 0.5185684), ('estonia', 0.49313468), ('sweden', 0.46355098), ('lithuania', 0.45174643), ('slovakia', 0.4351411), ('latvia', 0.4339912), ('romania', 0.42727306), ('hungary', 0.42603645), ('iceland', 0.42193377)]",capital-common-countries
49,"('bangkok', 'thailand', 'islamabad', 'pakistan')",0.65573806,1,"[('pakistan', 0.6557382), ('pakistani', 0.49920812), ('afghanistan', 0.46894297), ('bangladesh', 0.4689007), ('malaysia', 0.4571078), ('tanzania', 0.45423377), ('nepal', 0.45039666), ('karachi', 0.44603267), ('india', 0.4375039), ('indonesia', 0.4355178)]",capital-common-countries
50,"('bangkok', 'thailand', 'kabul', 'afghanistan')",0.6566825,1,"[('afghanistan', 0.6566823), ('afghan', 0.6011618), ('afghans', 0.5842105), ('pakistan', 0.53563184), ('nepal', 0.49778277), ('taliban', 0.4855881), ('bangladesh', 0.47109163), ('iran', 0.46000007), ('albania', 0.44663703), ('baghdad', 0.44650617)]",capital-common-countries
51,"('bangkok', 'thailand', 'london', 'england')",0.52046984,2,"[('britain', 0.52668417), ('england', 0.5204697), ('uk', 0.4716697), ('europe', 0.40390128), ('france', 0.3984864), ('scotland', 0.3925411), ('ireland', 0.38257965), ('british', 0.3811558), ('italy', 0.37173724), ('spain', 0.3616417)]",capital-common-countries
52,"('bangkok', 'thailand', 'madrid', 'spain')",0.6306689,1,"[('spain', 0.63066894), ('portugal', 0.48705637), ('italy', 0.48200652), ('france', 0.4511589), ('mexico', 0.42387), ('morocco', 0.41906387), ('spanish', 0.41406187), ('chile', 0.4106431), ('argentina', 0.3971523), ('germany', 0.3970139)]",capital-common-countries
53,"('bangkok', 'thailand', 'moscow', 'russia')",0.6851788,1,"[('russia', 0.6851788), ('russian', 0.5287528), ('ukraine', 0.4931653), ('poland', 0.4756028), ('russians', 0.47215095), ('putin', 0.4686866), ('finland', 0.459432), ('sweden', 0.4554935), ('iran', 0.45483348), ('italy', 0.45278734)]",capital-common-countries
54,"('bangkok', 'thailand', 'oslo', 'norway')",0.6343314,1,"[('norway', 0.6343314), ('norwegian', 0.5075457), ('sweden', 0.45634958), ('denmark', 0.44258732), ('finland', 0.43490168), ('iceland', 0.41343313), ('austria', 0.41004822), ('netherlands', 0.41001928), ('slovenia', 0.40949836), ('slovakia', 0.3992045)]",capital-common-countries
55,"('bangkok', 'thailand', 'ottawa', 'canada')",0.53918695,1,"[('canada', 0.539187), ('ontario', 0.516362), ('canadian', 0.45084128), ('canadians', 0.44956362), ('quebec', 0.4350987), ('saskatchewan', 0.4255449), ('alberta', 0.41931885), ('manitoba', 0.40675202), ('montreal', 0.39090195), ('australia', 0.3863794)]",capital-common-countries
56,"('bangkok', 'thailand', 'paris', 'france')",0.6251172,1,"[('france', 0.6251172), ('french', 0.44059104), ('italy', 0.39995003), ('europe', 0.39382336), ('spain', 0.38282108), ('germany', 0.37233168), ('brazil', 0.35699272), ('ireland', 0.35090473), ('switzerland', 0.3487982), ('greece', 0.33895254)]",capital-common-countries
57,"('bangkok', 'thailand', 'rome', 'italy')",0.56838864,1,"[('italy', 0.5683887), ('romania', 0.42433223), ('spain', 0.40970337), ('greece', 0.4008695), ('france', 0.39665574), ('germany', 0.38597772), ('brazil', 0.368494), ('ireland', 0.36334056), ('portugal', 0.3589808), ('egypt', 0.35877943)]",capital-common-countries
58,"('bangkok', 'thailand', 'stockholm', 'sweden')",0.65476394,1,"[('sweden', 0.65476394), ('swedish', 0.50838065), ('finland', 0.48146707), ('norway', 0.470397), ('denmark', 0.4649601), ('switzerland', 0.43305114), ('scandinavian', 0.42161226), ('estonia', 0.4080822), ('germany', 0.40649262), ('scandinav', 0.40529117)]",capital-common-countries
59,"('bangkok', 'thailand', 'tehran', 'iran')",0.7408142,1,"[('iran', 0.7408141), ('iranian', 0.59768647), ('iranians', 0.5397593), ('pakistan', 0.45387766), ('persia', 0.44997558), ('pyongyang', 0.43453902), ('rouhani', 0.43433654), ('romania', 0.4266177), ('kazakhstan', 0.42302513), ('riyadh', 0.42151198)]",capital-common-countries
60,"('bangkok', 'thailand', 'tokyo', 'japan')",0.6540752,1,"[('japan', 0.65407526), ('japanese', 0.48954743), ('taiwan', 0.45704296), ('indonesia', 0.4520554), ('china', 0.45054966), ('italy', 0.43878117), ('germany', 0.3919923), ('singapore', 0.38484368), ('australia', 0.3837973), ('mexico', 0.37733155)]",capital-common-countries
61,"('bangkok', 'thailand', 'athens', 'greece')",0.6387908,1,"[('greece', 0.6387908), ('italy', 0.46669427), ('greek', 0.44597462), ('turkey', 0.43569568), ('albania', 0.4283066), ('greeks', 0.42320156), ('macedonia', 0.4210992), ('egypt', 0.41860878), ('romania', 0.41631103), ('spain', 0.40875524)]",capital-common-countries
62,"('bangkok', 'thailand', 'baghdad', 'iraq')",0.65997905,1,"[('iraq', 0.65997916), ('iraqi', 0.5820503), ('iraqis', 0.57030225), ('afghanistan', 0.5165419), ('syria', 0.48290116), ('mosul', 0.47931597), ('iran', 0.46592644), ('saddam', 0.46501645), ('libya', 0.46376964), ('turkey', 0.46325728)]",capital-common-countries
63,"('beijing', 'china', 'berlin', 'germany')",0.56999224,1,"[('germany', 0.5699923), ('german', 0.41701335), ('poland', 0.3924645), ('italy', 0.39128563), ('france', 0.36528403), ('europe', 0.36307478), ('belgium', 0.35697043), ('russia', 0.35102856), ('japan', 0.34968233), ('turkey', 0.3477193)]",capital-common-countries
64,"('beijing', 'china', 'bern', 'switzerland')",0.26985717,1,"[('switzerland', 0.2698571), ('spain', 0.2321518), ('italy', 0.19755162), ('canada', 0.19049755), ('chile', 0.18604493), ('sweden', 0.1843755), ('turkey', 0.18200216), ('mill', 0.18193261), ('germany', 0.17815408), ('france', 0.17124297)]",capital-common-countries
65,"('beijing', 'china', 'cairo', 'egypt')",0.6307525,1,"[('egypt', 0.6307525), ('egyptian', 0.4666302), ('syria', 0.4033784), ('libya', 0.39538294), ('turkey', 0.38756138), ('egyptians', 0.3767137), ('kenya', 0.3758753), ('morocco', 0.36987036), ('pharaoh', 0.36081004), ('tunisia', 0.35271916)]",capital-common-countries
66,"('beijing', 'china', 'canberra', 'australia')",0.5258917,1,"[('australia', 0.5258917), ('tasmania', 0.43143135), ('australian', 0.4131608), ('berra', 0.40732992), ('canada', 0.4030936), ('queensland', 0.40022445), ('australians', 0.39207736), ('nsw', 0.38849178), ('brisbane', 0.38145763), ('fiji', 0.3661689)]",capital-common-countries
67,"('beijing', 'china', 'havana', 'cuba')",0.6454168,1,"[('cuba', 0.6454168), ('cuban', 0.4592723), ('haiti', 0.44267347), ('venezuela', 0.4396598), ('colombia', 0.4253234), ('spain', 0.41454294), ('chile', 0.37970868), ('honduras', 0.37944806), ('guatemala', 0.37058297), ('mexico', 0.3666033)]",capital-common-countries
68,"('beijing', 'china', 'helsinki', 'finland')",0.6071117,1,"[('finland', 0.6071119), ('finnish', 0.46769562), ('estonia', 0.44723964), ('sweden', 0.43308663), ('russia', 0.40294832), ('lithuania', 0.3972493), ('iceland', 0.39528012), ('poland', 0.38064295), ('hungary', 0.3781072), ('copenhagen', 0.36828783)]",capital-common-countries
69,"('beijing', 'china', 'islamabad', 'pakistan')",0.6415182,1,"[('pakistan', 0.64151824), ('afghanistan', 0.4925603), ('india', 0.4895985), ('karachi', 0.48304158), ('pakistani', 0.47782844), ('bangladesh', 0.4627713), ('nigeria', 0.4344336), ('malaysia', 0.42936534), ('kashmir', 0.41993833), ('nepal', 0.41595316)]",capital-common-countries
70,"('beijing', 'china', 'kabul', 'afghanistan')",0.6404692,1,"[('afghanistan', 0.6404692), ('afghan', 0.5622625), ('afghans', 0.5301065), ('pakistan', 0.4519393), ('taliban', 0.44072425), ('syria', 0.42801964), ('nepal', 0.4213175), ('bangladesh', 0.41862643), ('iran', 0.4161102), ('somalia', 0.39976278)]",capital-common-countries
71,"('beijing', 'china', 'london', 'england')",0.4557641,1,"[('england', 0.45576406), ('britain', 0.45138854), ('uk', 0.41733536), ('british', 0.36656317), ('europe', 0.35083663), ('canada', 0.34722224), ('scotland', 0.340198), ('india', 0.3364913), ('france', 0.31963494), ('japan', 0.3098555)]",capital-common-countries
72,"('beijing', 'china', 'madrid', 'spain')",0.62510437,1,"[('spain', 0.62510437), ('italy', 0.45220855), ('france', 0.4277418), ('portugal', 0.42420653), ('spanish', 0.40440735), ('germany', 0.39979166), ('mexico', 0.38499537), ('argentina', 0.38429078), ('morocco', 0.37310252), ('japan', 0.37168083)]",capital-common-countries
73,"('beijing', 'china', 'moscow', 'russia')",0.71391445,1,"[('russia', 0.7139144), ('russian', 0.53625816), ('poland', 0.4630847), ('ukraine', 0.45725796), ('germany', 0.43410823), ('russians', 0.4242846), ('putin', 0.42237887), ('iran', 0.4202399), ('turkey', 0.42021686), ('sweden', 0.41650438)]",capital-common-countries
74,"('beijing', 'china', 'oslo', 'norway')",0.59608006,1,"[('norway', 0.59608006), ('norwegian', 0.4536936), ('sweden', 0.4172849), ('denmark', 0.3838095), ('iceland', 0.37891778), ('finland', 0.37865546), ('poland', 0.35874623), ('stockholm', 0.35608798), ('copenhagen', 0.35284227), ('israel', 0.34187028)]",capital-common-countries
75,"('beijing', 'china', 'ottawa', 'canada')",0.6004563,1,"[('canada', 0.6004563), ('ontario', 0.46912807), ('canadian', 0.46666023), ('canadians', 0.41423607), ('saskatchewan', 0.41151735), ('quebec', 0.40323207), ('montreal', 0.3896941), ('toronto', 0.37926498), ('alberta', 0.37789688), ('manitoba', 0.374861)]",capital-common-countries
76,"('beijing', 'china', 'paris', 'france')",0.5395344,1,"[('france', 0.5395344), ('french', 0.3973264), ('europe', 0.34028518), ('canada', 0.32950738), ('germany', 0.32460427), ('italy', 0.31130835), ('india', 0.31031078), ('spain', 0.30311915), ('egypt', 0.3013211), ('brazil', 0.3001403)]",capital-common-countries
77,"('beijing', 'china', 'rome', 'italy')",0.5355786,1,"[('italy', 0.5355786), ('germany', 0.37856248), ('spain', 0.3732052), ('egypt', 0.37136286), ('france', 0.35998833), ('japan', 0.3520219), ('brazil', 0.35045967), ('greece', 0.34505603), ('russia', 0.33365002), ('romania', 0.32448912)]",capital-common-countries
78,"('beijing', 'china', 'stockholm', 'sweden')",0.58732736,1,"[('sweden', 0.5873273), ('swedish', 0.4533727), ('finland', 0.40005746), ('norway', 0.39487207), ('denmark', 0.3808162), ('germany', 0.3689309), ('switzerland', 0.3634302), ('poland', 0.35953838), ('scandinavian', 0.35920745), ('russia', 0.3465343)]",capital-common-countries
79,"('beijing', 'china', 'tehran', 'iran')",0.76799136,1,"[('iran', 0.7679913), ('iranian', 0.57049555), ('iranians', 0.48080721), ('russia', 0.45635444), ('persia', 0.4487687), ('syria', 0.43139955), ('egypt', 0.4222207), ('afghanistan', 0.41677815), ('turkey', 0.41520426), ('armenia', 0.40317094)]",capital-common-countries
80,"('beijing', 'china', 'tokyo', 'japan')",0.67643094,1,"[('japan', 0.676431), ('japanese', 0.48150417), ('india', 0.38985246), ('taiwan', 0.3895342), ('italy', 0.3886197), ('asia', 0.381828), ('germany', 0.3790598), ('korea', 0.37905872), ('thailand', 0.3716531), ('indonesia', 0.36683458)]",capital-common-countries
